TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Akhmat Grozny,FK Anzi Makhackala,0,0,1.48,4.01,8.84
Yenisey,Spartak Moscow,2,3,4.36,3.32,1.95
Rubin Kazan,Ural,1,0,1.90,3.19,5.07
FK Rostov,Orenburg,0,1,1.85,3.19,5.47
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3.16,3.04,2.52
Arsenal Tula,Ufa,1,1,2.30,3.01,3.67
Rubin Kazan,FK Krylya Sovetov Samara,2,1,1.71,3.42,6.48
Spartak Moscow,FK Rostov,0,1,1.88,3.32,4.97
Krasnodar,Dynamo Moscow,3,0,1.70,3.81,5.35
FK Anzi Makhackala,Zenit,2,1,12.08,5.20,1.31
Lokomotiv Moscow,Akhmat Grozny,2,0,1.95,3.22,4.68
Ufa,Yenisey,2,1,2.15,2.98,4.17
Ural,Arsenal Tula,2,1,2.22,3.16,3.57
Orenburg,CSKA Moscow,0,1,4.00,3.12,2.15
FK Krylya Sovetov Samara,Krasnodar,0,3,4.55,3.36,1.93
CSKA Moscow,Spartak Moscow,1,1,2.37,3.32,3.25
Zenit,Lokomotiv Moscow,5,3,1.69,3.70,6.00
Akhmat Grozny,Orenburg,1,1,2.08,3.09,4.24
FK Rostov,Ufa,0,0,1.80,3.21,5.95
Arsenal Tula,Rubin Kazan,2,2,2.98,2.90,2.77
Dynamo Moscow,FK Anzi Makhackala,0,1,1.35,4.91,10.82
Yenisey,Ural,1,2,2.26,3.02,3.78
Ural,FK Rostov,1,1,3.57,2.82,2.49
Spartak Moscow,Akhmat Grozny,1,2,1.57,3.79,7.12
FK Anzi Makhackala,Krasnodar,0,4,7.79,4.15,1.50
Orenburg,Zenit,1,2,6.28,3.55,1.68
Arsenal Tula,FK Krylya Sovetov Samara,4,0,2.40,2.97,3.54
Ufa,CSKA Moscow,0,3,4.13,3.06,2.12
Rubin Kazan,Yenisey,1,0,1.69,3.39,6.52
Lokomotiv Moscow,Dynamo Moscow,1,1,1.97,3.09,4.50
Akhmat Grozny,Ufa,2,1,1.82,3.23,5.63
Zenit,Spartak Moscow,0,0,2.01,3.55,3.89
Dynamo Moscow,Orenburg,2,0,2.13,3.11,4.15
Yenisey,Arsenal Tula,0,0,2.49,2.93,3.40
Krasnodar,Lokomotiv Moscow,2,1,2.51,3.07,3.28
CSKA Moscow,Ural,4,0,1.56,4.01,6.91
FK Krylya Sovetov Samara,FK Anzi Makhackala,1,0,1.69,3.52,6.09
FK Rostov,Rubin Kazan,1,1,2.40,2.80,3.78
Yenisey,FK Krylya Sovetov Samara,1,0,2.68,2.95,3.07
Lokomotiv Moscow,FK Anzi Makhackala,2,1,1.24,5.59,18.65
Ufa,Zenit,0,2,6.35,3.34,1.73
Orenburg,Krasnodar,1,1,3.71,3.06,2.25
Spartak Moscow,Dynamo Moscow,2,1,1.79,3.52,5.42
Rubin Kazan,CSKA Moscow,1,1,2.77,2.91,3.00
Ural,Akhmat Grozny,2,1,2.52,3.00,3.22
Arsenal Tula,FK Rostov,0,1,3.26,2.90,2.59
Dynamo Moscow,Ufa,3,0,1.77,3.20,6.33
FK Rostov,Yenisey,4,0,1.64,3.52,7.01
Zenit,Ural,4,1,1.37,4.67,10.50
FK Krylya Sovetov Samara,Lokomotiv Moscow,0,1,4.36,3.10,2.07
Akhmat Grozny,Rubin Kazan,1,1,2.85,2.83,3.07
Krasnodar,Spartak Moscow,0,1,2.95,3.33,2.60
CSKA Moscow,Arsenal Tula,3,0,1.68,3.52,6.26
FK Anzi Makhackala,Orenburg,1,3,4.38,3.12,2.07
Rubin Kazan,Zenit,0,1,4.09,3.05,2.20
Ufa,Krasnodar,0,1,3.46,2.97,2.44
Arsenal Tula,Akhmat Grozny,3,1,2.76,2.90,3.05
Orenburg,Lokomotiv Moscow,1,0,3.87,2.98,2.29
FK Rostov,FK Krylya Sovetov Samara,0,1,1.77,3.28,6.33
Spartak Moscow,FK Anzi Makhackala,1,0,1.21,6.92,14.60
Yenisey,CSKA Moscow,1,1,4.76,3.34,1.92
Ural,Dynamo Moscow,1,1,2.59,2.92,3.23
Ufa,FK Anzi Makhackala,3,0,1.62,3.65,7.00
Akhmat Grozny,Yenisey,1,0,1.79,3.43,5.48
CSKA Moscow,FK Rostov,0,1,1.90,3.21,5.06
FK Krylya Sovetov Samara,Orenburg,0,3,2.36,2.93,3.72
Lokomotiv Moscow,Spartak Moscow,0,0,2.77,3.08,2.89
Zenit,Arsenal Tula,1,0,1.33,4.90,12.42
Ural,Krasnodar,1,2,3.44,3.16,2.33
Dynamo Moscow,Rubin Kazan,1,1,2.82,2.89,2.97
